No,name,score,recommendation,yanyuan,daoyan,year,country,classes
111,蝙蝠侠：黑暗骑士崛起,8.8,诺兰就是保证。,主演: 克里斯蒂安·贝尔 Christ...,导演: 克里斯托弗·诺兰 Christopher Nolan,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚
112,幽灵公主,8.9,人与自然的战争史诗。,主演: 松田洋治 Yôji Matsuda / 石田百合...,导演: 宫崎骏 Hayao Miyazaki,1997,日本,动画 奇幻 冒险
113,超能陆战队,8.7,Balalala~~~,主演: 斯科特...,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,美国,喜剧 动作 科幻 动画 冒险
114,菊次郎的夏天,8.9,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,主演: 北野武 Takeshi Kitano / 关口雄介 Yus...,导演: 北野武 Takeshi Kitano,1999,日本,剧情 喜剧
115,爱在日落黄昏时,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,主演: 伊桑·霍克 Ethan Hawke ...,导演: 理查德·林克莱特 Richard Linklater,2004,美国 法国,剧情 爱情
116,甜蜜蜜,8.9,相逢只要一瞬间，等待却像是一辈子。,主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,导演: 陈可辛 Peter Chan,1996,中国香港,剧情 爱情
117,天使爱美丽,8.7,法式小清新。 ,主演: 奥黛丽·塔图 Audrey Tau...,导演: 让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,剧情 喜剧 爱情
118,阳光灿烂的日子,8.9,一场华丽的意淫。,主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,导演: 姜文 Wen Jiang,1994,中国大陆 中国香港,剧情 爱情
119,小森林 夏秋篇,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。,主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,导演: 森淳一 Junichi Mori,2014,日本,剧情
120,完美的世界,9.1,坏人的好总是比好人的好来得更感人。,主演: 凯文·科斯特纳 Kevin Cos...,导演: 克林特·伊斯特伍德 Clint Eastwood,1993,美国,剧情 犯罪
121,借东西的小人阿莉埃蒂,8.9,曾经的那段美好会沉淀为一辈子的记忆。,主演: 志田未来 Mirai Shida / 神木...,导演: 米林宏昌 Hiromasa Yonebayashi,2010,日本,动画 奇幻 冒险
122,无人知晓,9.1,我的平常生活就是他人的幸福。,主演: 柳乐优弥 Yûya Yagira / 北浦爱...,导演: 是枝裕和 Hirokazu Koreeda,2004,日本,剧情
123,消失的爱人,8.7,年度最佳date movie。,主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...,导演: 大卫·芬奇 David Fincher,2014,美国,剧情 犯罪 悬疑 惊悚
124,倩女幽魂,8.8,两张绝世的脸。 ,主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...,导演: 程小东 Siu-Tung Ching,1987,中国香港,爱情 奇幻 武侠 古装
125,寄生虫,8.8,,主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun...,导演: 奉俊昊 Joon-ho Bong,2019,韩国,剧情
126,侧耳倾听,8.9,少女情怀总是诗。,主演: 本名阳子 Youko Honna / 小林桂树 K...,导演: 近藤喜文 Yoshifumi Kondo,1995,日本,剧情 爱情 动画
127,时空恋旅人,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,主演: 多姆纳尔·格里森 Domhnall Gl...,导演: 理查德·柯蒂斯 Richard Curtis,2013,英国,喜剧 爱情 奇幻
128,小森林 冬春篇,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,导演: 森淳一 Junichi Mori,2015,日本,剧情
129,幸福终点站,8.8,有时候幸福需要等一等。 ,主演: 汤姆·汉克斯 Tom Hanks...,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,2004,美国,喜剧 剧情 爱情
130,驯龙高手,8.8,和谐的生活离不开摸头与被摸头。,主演:...,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,美国,动画 奇幻 冒险
131,教父3,9.0,任何信念的力量，都无法改变命运。,主演: 阿尔·帕西诺 A...,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,剧情 犯罪
132,一个叫欧维的男人决定去死,8.9,惠及一生的美丽。,主演: 罗夫·拉斯加德 Rolf Lassgård...,导演: 汉内斯·赫尔姆 Hannes Holm,2015,瑞典,剧情
133,未麻的部屋,9.1,好的剧本是，就算你猜到了结局也猜不到全部。,主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...,导演: 今敏 Satoshi Kon,1997,日本,动画 奇幻 惊悚
134,萤火之森,8.9,触不到的恋人。,主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,导演: 大森贵弘 Takahiro Omori,2011,日本,剧情 爱情 动画 奇幻
135,怪兽电力公司,8.8,不要给它起名字，起了名字就有感情了。,主演: 约...,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,美国,儿童 喜剧 动画 奇幻 冒险
136,哈利·波特与火焰杯,8.8,,主演: 丹尼尔·雷德克里夫 Daniel Radclif...,导演: 迈克·内威尔 Mike Newell,2005,英国 美国,悬疑 奇幻 冒险
137,玩具总动员3,8.9,跨度十五年的欢乐与泪水。,主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,导演: 李·昂克里奇 Lee Unkrich,2010,美国,喜剧 动画 奇幻 冒险
138,傲慢与偏见,8.7,爱是摈弃傲慢与偏见之后的曙光。,主演: 凯拉·奈特莉 Keira Knightley / 马修·...,导演: 乔·怀特 Joe Wright,2005,法国 英国 美国,剧情 爱情
139,新世界,8.9,要做就做得狠一点，这样才能活下去。,主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,导演: 朴勋政 Hoon-jung Park,2013,韩国,剧情 犯罪
140,釜山行,8.6,揭露人性的丧尸题材力作。,主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...,导演: 延尚昊 Sang-ho Yeon,2016,韩国,动作 惊悚 灾难
141,神偷奶爸,8.7,Mr. I Don't Care其实也有Care的时候。,主演: ...,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,美国 法国,喜剧 动画 冒险
142,被解救的姜戈,8.8,热血沸腾，那个低俗、性感的无耻混蛋又来了。,主演: 杰米·福克斯 Jamie Foxx /...,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,2012,美国,剧情 动作 西部 冒险
